iter	Passed	Remaining
0	150	150186
1	151	75405
2	151	50413
3	152	37917
4	152	30415
5	153	25416
6	154	21851
7	154	19172
8	155	17125
9	156	15460
10	157	14116
11	157	12983
12	158	12017
13	158	11189
14	159	10471
15	160	9842
16	160	9287
17	161	8792
18	161	8350
19	162	7953
20	162	7594
21	163	7268
22	164	6970
23	164	6696
24	165	6444
25	165	6211
26	166	5995
27	166	5796
28	167	5608
29	168	5434
30	168	5271
31	169	5123
32	170	4984
33	170	4852
34	171	4726
35	172	4605
36	172	4492
37	173	4384
38	173	4282
39	174	4184
40	174	4092
41	175	4004
42	176	3920
43	176	3839
44	177	3762
45	177	3688
46	178	3617
47	178	3550
48	179	3485
49	180	3423
50	180	3364
51	181	3307
52	182	3252
53	182	3200
54	183	3148
55	184	3102
56	184	3059
57	185	3017
58	186	2974
59	187	2930
60	187	2888
61	188	2846
62	188	2806
63	189	2768
64	189	2730
65	190	2693
66	190	2658
67	191	2623
68	191	2590
69	192	2557
70	193	2526
71	193	2495
72	194	2465
73	194	2436
74	195	2407
75	195	2380
76	196	2353
77	196	2326
78	197	2301
79	197	2276
80	198	2255
81	199	2232
82	199	2207
83	200	2188
84	201	2166
85	201	2144
86	202	2123
87	202	2102
88	203	2082
89	203	2062
90	204	2042
91	205	2023
92	205	2005
93	206	1986
94	206	1968
95	207	1951
96	207	1934
97	208	1917
98	208	1901
99	209	1885
100	210	1869
101	210	1854
102	211	1839
103	211	1824
104	212	1809
105	212	1795
106	213	1784
107	214	1771
108	215	1758
109	215	1746
110	216	1734
111	217	1721
112	217	1708
113	218	1696
114	218	1683
115	219	1671
116	219	1658
117	220	1647
118	220	1635
119	221	1624
120	222	1614
121	222	1602
122	223	1592
123	223	1581
124	224	1571
125	225	1561
126	225	1551
127	226	1541
128	226	1531
129	227	1522
130	228	1512
131	228	1505
132	229	1496
133	230	1488
134	230	1479
135	231	1470
136	232	1462
137	232	1453
138	233	1445
139	234	1438
140	234	1431
141	235	1422
142	236	1414
143	236	1406
144	237	1399
145	237	1391
146	238	1384
147	239	1376
148	239	1368
149	240	1361
150	240	1353
151	241	1345
152	241	1338
153	242	1331
154	242	1323
155	243	1318
156	244	1312
157	245	1305
158	245	1300
159	246	1293
160	246	1286
161	247	1279
162	247	1273
163	248	1267
164	249	1260
165	249	1254
166	250	1248
167	250	1242
168	251	1236
169	252	1230
170	252	1224
171	253	1218
172	253	1212
173	254	1206
174	254	1200
175	255	1195
176	255	1189
177	256	1183
178	256	1177
179	257	1172
180	257	1166
181	258	1162
182	259	1157
183	259	1152
184	260	1147
185	261	1142
186	261	1137
187	262	1132
188	262	1127
189	263	1122
190	263	1117
191	264	1112
192	264	1107
193	265	1102
194	266	1098
195	266	1093
196	267	1089
197	267	1084
198	268	1080
199	268	1075
200	269	1071
201	269	1066
202	270	1062
203	271	1057
204	271	1053
205	272	1048
206	272	1044
207	273	1040
208	273	1036
209	274	1032
210	275	1029
211	275	1025
212	276	1021
213	277	1017
214	277	1013
215	278	1009
216	278	1005
217	279	1001
218	279	997
219	280	994
220	281	990
221	281	986
222	282	983
223	282	979
224	283	975
225	283	972
226	284	968
227	284	964
228	285	961
229	286	957
230	286	954
231	287	950
232	287	947
233	288	944
234	289	941
235	289	938
236	290	935
237	291	932
238	291	929
239	292	926
240	293	922
241	293	919
242	294	916
243	294	913
244	295	909
245	295	906
246	296	903
247	297	900
248	297	897
249	298	894
250	298	891
251	299	888
252	299	885
253	300	882
254	300	879
255	301	876
256	302	873
257	302	870
258	303	867
259	303	865
260	304	862
261	305	859
262	306	857
263	306	854
264	307	851
265	307	849
266	308	846
267	309	844
268	309	841
269	310	838
270	310	836
271	311	833
272	312	831
273	312	828
274	313	825
275	313	823
276	314	820
277	314	817
278	315	815
279	316	812
280	316	810
281	317	807
282	317	805
283	318	802
284	318	800
285	319	798
286	320	795
287	321	793
288	321	791
289	322	789
290	322	786
291	323	784
292	324	782
293	324	779
294	325	777
295	326	775
296	326	773
297	327	770
298	327	768
299	328	766
300	328	763
301	329	761
302	330	759
303	330	757
304	331	754
305	331	752
306	332	750
307	332	748
308	333	745
309	334	744
310	335	742
311	335	740
312	336	738
313	337	736
314	337	734
315	338	732
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	718
322	341	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	706
328	345	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	691
335	348	689
336	349	687
337	350	686
338	350	684
339	351	682
340	352	680
341	352	678
342	353	676
343	353	674
344	354	672
345	354	670
346	355	669
347	356	667
348	356	665
349	357	663
350	357	661
351	358	659
352	358	657
353	359	655
354	360	654
355	360	652
356	361	650
357	361	648
358	362	646
359	362	645
360	363	643
361	364	641
362	364	640
363	365	638
364	366	637
365	367	636
366	367	634
367	368	632
368	368	630
369	369	629
370	370	627
371	370	625
372	371	624
373	371	622
374	372	620
375	372	618
376	373	617
377	374	615
378	374	613
379	375	612
380	375	610
381	376	608
382	376	607
383	377	605
384	378	603
385	378	602
386	379	600
387	380	599
388	380	597
389	381	596
390	382	595
391	382	593
392	383	592
393	383	590
394	384	588
395	385	587
396	385	585
397	386	584
398	386	582
399	387	580
400	387	579
401	388	577
402	388	576
403	389	574
404	389	572
405	390	571
406	391	569
407	391	568
408	392	566
409	392	565
410	393	563
411	393	561
412	394	560
413	395	559
414	395	557
415	396	556
416	396	554
417	397	553
418	398	551
419	398	550
420	399	548
421	399	547
422	400	546
423	400	544
424	401	543
425	401	541
426	402	540
427	403	538
428	403	537
429	404	535
430	404	534
431	405	532
432	405	531
433	406	529
434	406	528
435	407	526
436	407	525
437	408	524
438	409	522
439	409	521
440	410	520
441	411	519
442	411	517
443	412	516
444	413	515
445	413	513
446	414	512
447	415	511
448	415	510
449	416	508
450	416	507
451	417	506
452	418	504
453	418	503
454	419	502
455	420	501
456	420	500
457	422	499
458	422	498
459	423	497
460	423	495
461	424	494
462	425	493
463	426	492
464	426	490
465	427	489
466	427	488
467	428	487
468	429	485
469	429	484
470	430	483
471	430	481
472	431	480
473	432	479
474	432	478
475	433	477
476	434	475
477	434	474
478	435	473
479	435	472
480	436	470
481	436	469
482	437	468
483	438	467
484	438	466
485	439	464
486	440	464
487	441	463
488	442	462
489	442	461
